"filename", "language", "PHP", "CSS", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\my_projects\movie-star\controllers\AuthController.php", "PHP", 73, 0, 0, 0, 15, 88
"c:\xampp\htdocs\my_projects\movie-star\controllers\FormController.php", "PHP", 39, 0, 0, 9, 15, 63
"c:\xampp\htdocs\my_projects\movie-star\controllers\ImageController.php", "PHP", 39, 0, 0, 0, 10, 49
"c:\xampp\htdocs\my_projects\movie-star\controllers\MovieController.php", "PHP", 88, 0, 0, 3, 24, 115
"c:\xampp\htdocs\my_projects\movie-star\controllers\PasswordController.php", "PHP", 6, 0, 0, 0, 3, 9
"c:\xampp\htdocs\my_projects\movie-star\controllers\ReviewController.php", "PHP", 64, 0, 0, 0, 11, 75
"c:\xampp\htdocs\my_projects\movie-star\controllers\TokenController.php", "PHP", 6, 0, 0, 0, 3, 9
"c:\xampp\htdocs\my_projects\movie-star\controllers\UserController.php", "PHP", 68, 0, 0, 0, 18, 86
"c:\xampp\htdocs\my_projects\movie-star\database.php", "PHP", 8, 0, 0, 1, 3, 12
"c:\xampp\htdocs\my_projects\movie-star\globals.php", "PHP", 3, 0, 0, 1, 2, 6
"c:\xampp\htdocs\my_projects\movie-star\index.php", "PHP", 44, 0, 0, 1, 8, 53
"c:\xampp\htdocs\my_projects\movie-star\models\Message.php", "PHP", 30, 0, 0, 0, 12, 42
"c:\xampp\htdocs\my_projects\movie-star\models\Movie.php", "PHP", 27, 0, 0, 0, 7, 34
"c:\xampp\htdocs\my_projects\movie-star\models\Review.php", "PHP", 15, 0, 0, 0, 6, 21
"c:\xampp\htdocs\my_projects\movie-star\models\User.php", "PHP", 36, 0, 0, 0, 10, 46
"c:\xampp\htdocs\my_projects\movie-star\models\dao\MovieDAO.php", "PHP", 143, 0, 0, 5, 91, 239
"c:\xampp\htdocs\my_projects\movie-star\models\dao\ReviewDAO.php", "PHP", 79, 0, 0, 4, 54, 137
"c:\xampp\htdocs\my_projects\movie-star\models\dao\UserDAO.php", "PHP", 162, 0, 0, 13, 98, 273
"c:\xampp\htdocs\my_projects\movie-star\resources\css\styles.css", "CSS", 0, 448, 0, 15, 108, 571
"c:\xampp\htdocs\my_projects\movie-star\resources\img\logo.svg", "XML", 0, 0, 97, 1, 1, 99
"c:\xampp\htdocs\my_projects\movie-star\views\auth.php", "PHP", 56, 0, 0, 0, 3, 59
"c:\xampp\htdocs\my_projects\movie-star\views\dashboard.php", "PHP", 56, 0, 0, 1, 6, 63
"c:\xampp\htdocs\my_projects\movie-star\views\editmovie.php", "PHP", 75, 0, 0, 3, 17, 95
"c:\xampp\htdocs\my_projects\movie-star\views\editprofile.php", "PHP", 71, 0, 0, 0, 7, 78
"c:\xampp\htdocs\my_projects\movie-star\views\logout.php", "PHP", 6, 0, 0, 0, 2, 8
"c:\xampp\htdocs\my_projects\movie-star\views\movie.php", "PHP", 95, 0, 0, 7, 22, 124
"c:\xampp\htdocs\my_projects\movie-star\views\newmovie.php", "PHP", 54, 0, 0, 1, 4, 59
"c:\xampp\htdocs\my_projects\movie-star\views\profile.php", "PHP", 58, 0, 0, 4, 17, 79
"c:\xampp\htdocs\my_projects\movie-star\views\search.php", "PHP", 23, 0, 0, 2, 5, 30
"c:\xampp\htdocs\my_projects\movie-star\views\templates\footer.php", "PHP", 28, 0, 0, 0, 0, 28
"c:\xampp\htdocs\my_projects\movie-star\views\templates\header.php", "PHP", 77, 0, 0, 1, 9, 87
"c:\xampp\htdocs\my_projects\movie-star\views\templates\movie_card.php", "PHP", 19, 0, 0, 0, 2, 21
"c:\xampp\htdocs\my_projects\movie-star\views\templates\user_review.php", "PHP", 26, 0, 0, 1, 6, 33
"Total", "-", 1574, 448, 97, 73, 599, 2791
